CVE_AGEB,O3_por_ageb_0,O3_por_ageb_1,O3_por_ageb_7,O3_por_ageb_8,O3_por_ageb_9,O3_por_ageb_10,O3_por_ageb_11,O3_por_ageb_12,O3_por_ageb_13,O3_por_ageb_14,O3_por_ageb_15,O3_por_ageb_16,O3_por_ageb_17,O3_por_ageb_18,O3_por_ageb_19,O3_por_ageb_20,O3_por_ageb_21,O3_por_ageb_22,O3_por_ageb_23
1142,13.628121509715154,26.333333333333332,35.333333333333336,41.333333333333336,45.0,48.0,50.0,50.0,48.333333333333336,48.0,47.0,45.333333333333336,43.333333333333336,41.0,38.0,34.0,31.0,29.0,28.0
1012,15.511294863755545,25.0,30.0,34.333333333333336,38.666666666666664,43.333333333333336,47.333333333333336,49.0,49.333333333333336,48.99984008954935,48.333333333333336,46.0,43.333333333333336,40.333333333333336,36.666666666666664,32.666666666666664,29.333333333333332,27.666666666666668,26.333333333333332
393,13.115604046867704,27.0,36.0,42.333333333333336,45.666666666666664,48.0,50.333333333333336,50.0,48.0,46.666666666666664,45.666666666666664,44.333333333333336,43.0,41.0,39.0,35.0,31.666666666666668,29.666666666666668,26.55602716468637
3,17.25394665036731,24.0,28.0,32.333333333333336,36.333333333333336,41.0,45.0,46.666666666666664,47.333333333333336,47.333333333333336,46.666666666666664,44.333333333333336,42.0,38.333333333333336,34.333333333333336,31.0,28.666666666666668,27.0,25.666666666666668
37,17.721331479045784,25.333333333333332,30.333333333333332,34.666666666666664,39.0,43.666666666666664,47.666666666666664,49.0,49.333333333333336,49.666666666666664,49.333333333333336,46.666666666666664,44.0,41.0,37.0,33.333333333333336,30.0,28.333333333333332,27.0
70,17.721331479045784,25.0,29.666666666666668,34.333333333333336,38.333333333333336,43.0,47.333333333333336,49.0,49.666666666666664,50.333333333333336,49.666666666666664,46.666666666666664,44.333333333333336,41.333333333333336,37.0,33.333333333333336,30.0,28.333333333333332,27.0
35,13.622687141149592,27.0,36.0,42.333333333333336,45.666666666666664,48.0,50.333333333333336,50.0,48.0,46.666666666666664,45.666666666666664,44.333333333333336,43.0,41.0,38.666666666666664,35.0,31.666666666666668,29.666666666666668,26.55602716468637
148,17.30596801484489,24.0,27.333333333333332,31.666666666666668,35.333333333333336,40.0,44.333333333333336,47.0,48.0,48.99984008954935,47.666666666666664,45.0,42.333333333333336,38.666666666666664,34.333333333333336,31.0,28.333333333333332,26.333333333333332,25.333333333333332
152,17.30894257525998,24.0,27.333333333333332,31.666666666666668,35.666666666666664,40.333333333333336,44.666666666666664,47.0,48.0,48.99984008954935,48.333333333333336,45.333333333333336,43.0,39.0,34.666666666666664,31.333333333333332,28.333333333333332,26.666666666666668,25.333333333333332
167,16.875890696224616,24.0,27.333333333333332,31.666666666666668,35.333333333333336,40.0,44.333333333333336,47.0,48.0,48.666666666666664,48.333333333333336,45.333333333333336,42.666666666666664,38.666666666666664,34.333333333333336,31.0,28.333333333333332,26.333333333333332,25.0
171,17.764569222636236,24.333333333333332,27.333333333333332,31.666666666666668,35.666666666666664,40.666666666666664,44.666666666666664,47.333333333333336,48.0,48.666666666666664,49.0,45.66856175972969,43.333333333333336,39.333333333333336,35.0,31.666666666666668,28.666666666666668,26.666666666666668,25.333333333333332
368,13.382972387544324,27.0,36.0,42.333333333333336,45.666666666666664,48.333333333333336,50.666666666666664,50.333333333333336,48.333333333333336,47.333333333333336,46.0,45.0,43.333333333333336,41.333333333333336,39.0,35.333333333333336,32.0,29.666666666666668,26.55602716468637
423,13.382972387544324,26.666666666666668,34.333333333333336,40.333333333333336,44.333333333333336,47.666666666666664,50.333333333333336,50.0,48.666666666666664,48.0,46.333333333333336,45.0,43.333333333333336,41.0,38.333333333333336,34.666666666666664,31.333333333333332,29.333333333333332,26.55602716468637
387,13.99562381348047,26.666666666666668,34.666666666666664,40.333333333333336,44.333333333333336,47.666666666666664,50.333333333333336,50.0,48.666666666666664,48.0,46.0,44.666666666666664,43.333333333333336,41.0,38.666666666666664,35.0,31.333333333333332,29.666666666666668,26.55602716468637
1050,17.305968014844886,25.333333333333332,32.0,37.0,40.333333333333336,44.0,47.333333333333336,49.0,48.666666666666664,48.99984008954935,48.666666666666664,45.666666666666664,43.0,39.666666666666664,36.0,32.333333333333336,29.666666666666668,27.666666666666668,27.0
107,17.30596801484489,24.0,28.0,32.333333333333336,36.333333333333336,41.0,45.0,47.0,47.666666666666664,48.99984008954935,47.666666666666664,44.666666666666664,42.0,38.333333333333336,34.333333333333336,31.0,28.666666666666668,26.666666666666668,25.666666666666668
438,13.840956713575544,26.666666666666668,34.666666666666664,40.333333333333336,44.333333333333336,47.666666666666664,50.333333333333336,50.0,49.0,48.0,46.333333333333336,45.0,43.666666666666664,41.0,38.666666666666664,35.0,31.666666666666668,29.666666666666668,26.55602716468637
1099,15.284189706254285,25.0,31.333333333333332,36.666666666666664,40.0,44.0,47.333333333333336,48.666666666666664,48.0,48.333333333333336,47.333333333333336,45.333333333333336,42.666666666666664,39.0,35.333333333333336,32.0,29.0,27.333333333333332,26.333333333333332
1101,13.840956713575544,26.666666666666668,34.666666666666664,40.333333333333336,44.333333333333336,47.666666666666664,50.333333333333336,50.0,49.0,48.0,46.333333333333336,45.0,43.666666666666664,41.0,38.666666666666664,35.0,31.666666666666668,29.666666666666668,26.55602716468637
1065,17.30596801484489,24.0,28.0,32.333333333333336,36.333333333333336,41.0,45.0,47.0,47.666666666666664,48.99984008954935,47.666666666666664,44.666666666666664,42.0,38.333333333333336,34.333333333333336,31.0,28.666666666666668,26.666666666666668,25.666666666666668
1116,13.840956713575544,26.666666666666668,34.666666666666664,40.333333333333336,44.333333333333336,47.666666666666664,50.333333333333336,50.0,49.0,48.0,46.333333333333336,45.0,43.666666666666664,41.0,38.666666666666664,35.0,31.666666666666668,29.666666666666668,26.55602716468637
1842,13.352633155678316,26.666666666666668,34.666666666666664,40.333333333333336,44.0,47.333333333333336,50.333333333333336,50.0,49.0,48.666666666666664,47.0,45.333333333333336,44.0,41.333333333333336,38.666666666666664,35.0,31.333333333333332,29.333333333333332,26.55602716468637
419,13.99562381348047,26.666666666666668,34.666666666666664,40.333333333333336,44.333333333333336,47.666666666666664,50.333333333333336,50.0,48.666666666666664,48.0,46.0,44.666666666666664,43.333333333333336,41.0,38.666666666666664,35.0,31.333333333333332,29.666666666666668,26.55602716468637
1734,13.352633155678316,26.666666666666668,35.333333333333336,40.666666666666664,44.333333333333336,47.666666666666664,50.666666666666664,50.666666666666664,49.333333333333336,48.666666666666664,47.666666666666664,45.666666666666664,44.333333333333336,41.666666666666664,38.666666666666664,35.0,31.333333333333332,29.333333333333332,26.55602716468637
457,15.498683348675522,27.0,35.0,41.0,44.666666666666664,48.0,50.666666666666664,50.333333333333336,49.0,48.333333333333336,46.666666666666664,45.333333333333336,44.0,41.666666666666664,39.333333333333336,35.666666666666664,32.0,30.0,26.55602716468637
93,13.115604046867704,27.0,36.0,42.333333333333336,45.666666666666664,48.0,50.333333333333336,50.0,48.0,46.666666666666664,45.666666666666664,44.333333333333336,43.0,41.0,39.0,35.0,31.666666666666668,29.666666666666668,26.55602716468637
490,14.856799283844413,26.0,34.666666666666664,40.333333333333336,43.666666666666664,47.0,49.666666666666664,49.666666666666664,48.666666666666664,48.0,47.0,45.333333333333336,43.333333333333336,40.333333333333336,37.333333333333336,33.666666666666664,30.666666666666668,28.245063879210075,27.666666666666668
106,13.115604046867704,27.0,36.0,42.333333333333336,45.666666666666664,48.0,50.333333333333336,50.0,48.0,46.666666666666664,45.666666666666664,44.333333333333336,43.0,41.0,39.0,35.0,31.666666666666668,29.666666666666668,26.55602716468637
1338,13.628121509715154,26.333333333333332,35.333333333333336,41.333333333333336,45.0,48.0,50.0,50.0,48.333333333333336,48.0,47.0,45.333333333333336,43.333333333333336,41.0,38.0,34.0,31.0,29.0,28.0
104,13.382972387544324,27.0,36.0,42.333333333333336,45.666666666666664,48.333333333333336,50.666666666666664,50.333333333333336,48.333333333333336,47.333333333333336,46.333333333333336,45.0,43.333333333333336,41.333333333333336,39.0,35.333333333333336,32.0,29.666666666666668,26.55602716468637
195,13.382972387544324,27.0,36.0,42.333333333333336,45.666666666666664,48.333333333333336,50.666666666666664,50.333333333333336,48.333333333333336,47.333333333333336,46.333333333333336,45.0,43.333333333333336,41.333333333333336,39.0,35.333333333333336,32.0,29.666666666666668,26.55602716468637
118,17.764569222636236,24.0,25.666666666666668,37.82880305197876,34.0,40.0,44.0,47.0,48.333333333333336,49.666666666666664,49.666666666666664,45.66856175972969,43.0,39.0,34.666666666666664,31.0,28.666666666666668,26.333333333333332,25.333333333333332
208,13.382972387544324,27.0,36.0,42.333333333333336,45.666666666666664,48.333333333333336,50.666666666666664,50.333333333333336,48.333333333333336,47.333333333333336,46.0,45.0,43.333333333333336,41.333333333333336,39.0,35.333333333333336,32.0,29.666666666666668,26.55602716468637
137,18.02106268337827,24.0,25.666666666666668,37.82880305197876,33.666666666666664,39.666666666666664,44.0,46.666666666666664,48.333333333333336,49.666666666666664,49.333333333333336,45.66856175972969,43.0,39.333333333333336,34.666666666666664,31.333333333333332,28.666666666666668,26.666666666666668,25.333333333333332
503,13.628121509715154,25.666666666666668,34.333333333333336,40.0,43.333333333333336,46.666666666666664,49.333333333333336,49.666666666666664,48.666666666666664,48.333333333333336,47.333333333333336,45.333333333333336,43.333333333333336,40.333333333333336,37.333333333333336,33.333333333333336,30.666666666666668,28.245063879210075,27.333333333333332
103,17.764569222636236,24.0,27.0,31.0,35.333333333333336,40.666666666666664,44.333333333333336,47.0,48.0,49.0,49.333333333333336,45.66856175972969,43.333333333333336,39.333333333333336,35.333333333333336,31.666666666666668,29.0,26.666666666666668,25.333333333333332
486,15.306989792105382,25.0,32.0,37.666666666666664,41.0,44.0,47.0,47.333333333333336,47.0,47.0,46.333333333333336,44.666666666666664,42.666666666666664,39.666666666666664,36.333333333333336,32.333333333333336,30.280646208800093,27.666666666666668,26.666666666666668
876,13.628121509715154,25.666666666666668,34.333333333333336,40.0,43.333333333333336,46.666666666666664,49.333333333333336,49.666666666666664,48.666666666666664,48.333333333333336,47.333333333333336,45.333333333333336,43.333333333333336,40.333333333333336,37.333333333333336,33.333333333333336,30.666666666666668,28.245063879210075,27.333333333333332
683,13.628121509715154,25.666666666666668,34.333333333333336,40.0,43.333333333333336,46.666666666666664,49.333333333333336,49.666666666666664,48.666666666666664,48.333333333333336,47.333333333333336,45.333333333333336,43.333333333333336,40.333333333333336,37.333333333333336,33.333333333333336,30.666666666666668,28.245063879210075,27.333333333333332
103,17.764569222636236,24.333333333333332,27.333333333333332,31.666666666666668,35.666666666666664,40.666666666666664,44.666666666666664,47.333333333333336,48.0,48.666666666666664,49.0,45.66856175972969,43.333333333333336,39.333333333333336,35.0,31.666666666666668,28.666666666666668,26.666666666666668,25.333333333333332
1889,15.306989792105384,26.333333333333332,34.666666666666664,40.666666666666664,43.666666666666664,47.0,49.666666666666664,49.666666666666664,48.666666666666664,48.333333333333336,47.333333333333336,45.666666666666664,43.666666666666664,40.666666666666664,37.666666666666664,33.666666666666664,30.666666666666668,28.245063879210075,27.666666666666668
156,17.764569222636236,24.333333333333332,27.333333333333332,31.666666666666668,35.666666666666664,40.666666666666664,44.666666666666664,47.333333333333336,48.0,48.666666666666664,49.0,45.66856175972969,43.333333333333336,39.333333333333336,35.0,31.666666666666668,28.666666666666668,26.666666666666668,25.333333333333332
112,15.511294863755538,25.666666666666668,31.0,35.0,39.333333333333336,43.666666666666664,47.0,48.666666666666664,49.0,48.99984008954935,47.666666666666664,45.666666666666664,43.333333333333336,40.666666666666664,37.333333333333336,33.0,30.0,28.0,26.666666666666668
83,20.32421361329756,24.333333333333332,26.0,37.82880305197876,34.333333333333336,40.0,44.333333333333336,47.0,48.333333333333336,49.666666666666664,49.666666666666664,46.333333333333336,43.333333333333336,40.0,35.333333333333336,32.0,29.333333333333332,27.333333333333332,26.0
1599,13.094889066308289,26.333333333333332,35.666666666666664,41.666666666666664,45.0,48.333333333333336,50.666666666666664,50.333333333333336,49.0,48.333333333333336,47.666666666666664,45.666666666666664,43.666666666666664,41.0,38.0,34.0,31.0,29.0,26.55602716468637
1601,13.103340258750224,27.0,36.0,42.333333333333336,45.333333333333336,48.0,50.333333333333336,50.0,48.0,47.0,46.0,44.666666666666664,43.0,40.666666666666664,38.666666666666664,35.0,31.666666666666668,29.333333333333332,26.55602716468637
51,17.764569222636236,24.333333333333332,27.333333333333332,31.666666666666668,35.666666666666664,40.666666666666664,44.666666666666664,47.333333333333336,48.0,48.666666666666664,49.0,45.66856175972969,43.333333333333336,39.333333333333336,35.0,31.666666666666668,28.666666666666668,26.666666666666668,25.333333333333332
495,13.103340258750224,27.0,36.0,42.333333333333336,45.333333333333336,48.0,50.333333333333336,50.0,48.0,47.0,46.0,44.666666666666664,43.0,40.666666666666664,38.666666666666664,35.0,31.666666666666668,29.333333333333332,26.55602716468637
10,17.25394665036731,24.0,27.333333333333332,31.666666666666668,35.666666666666664,40.333333333333336,44.666666666666664,46.666666666666664,47.666666666666664,48.0,47.0,44.666666666666664,42.333333333333336,38.666666666666664,34.333333333333336,31.0,28.666666666666668,26.666666666666668,25.333333333333332
38,15.511294863755545,25.666666666666668,31.0,35.0,39.333333333333336,43.666666666666664,47.0,48.666666666666664,49.0,48.99984008954935,47.666666666666664,45.666666666666664,43.333333333333336,40.666666666666664,37.333333333333336,33.0,30.0,28.0,26.666666666666668
34,13.99562381348047,27.0,36.333333333333336,42.333333333333336,45.666666666666664,48.333333333333336,50.666666666666664,50.333333333333336,48.333333333333336,47.333333333333336,45.666666666666664,44.666666666666664,43.333333333333336,41.333333333333336,39.333333333333336,35.666666666666664,32.0,30.0,26.55602716468637
225,13.103340258750224,27.0,36.0,42.333333333333336,45.333333333333336,48.0,50.333333333333336,50.0,48.0,47.0,46.0,44.666666666666664,43.0,40.666666666666664,38.666666666666664,35.0,31.666666666666668,29.333333333333332,26.55602716468637
251,15.010359790778294,26.0,32.0,36.333333333333336,41.0,45.333333333333336,48.666666666666664,49.666666666666664,49.333333333333336,48.99984008954935,48.13823659725417,45.333333333333336,43.333333333333336,40.666666666666664,37.333333333333336,33.666666666666664,30.333333333333332,28.666666666666668,27.333333333333332
1057,15.511294863755538,25.666666666666668,31.0,35.0,39.333333333333336,43.666666666666664,47.0,48.666666666666664,49.0,48.99984008954935,47.666666666666664,45.666666666666664,43.333333333333336,40.666666666666664,37.333333333333336,33.0,30.0,28.0,26.666666666666668
